,A,B,M,N,V/I
0,-127.0,-125.0,-123.0,-121.0,-2.7285813295247014
1,-127.0,-125.0,-121.0,-119.0,-0.6736652705867512
2,-127.0,-125.0,-119.0,-117.0,-0.2714418410986539
3,-127.0,-125.0,-117.0,-115.0,-0.13632197346171127
4,-127.0,-125.0,-115.0,-113.0,-0.07703007106585191
5,-127.0,-125.0,-113.0,-111.0,-0.04685519749486777
6,-127.0,-125.0,-111.0,-109.0,-0.029973335343567276
7,-127.0,-125.0,-109.0,-107.0,-0.019870362308863465
8,-127.0,-125.0,-107.0,-105.0,-0.013517248697478529
9,-127.0,-125.0,-105.0,-103.0,-0.009374314534146555
10,-127.0,-125.0,-103.0,-101.0,-0.006599905861188846
11,-127.0,-125.0,-101.0,-99.0,-0.00470516785849176
12,-127.0,-125.0,-99.0,-97.0,-0.0033918178476248367
13,-127.0,-125.0,-97.0,-95.0,-0.0024707012957386615
14,-127.0,-125.0,-95.0,-93.0,-0.0018183079782574246
15,-127.0,-125.0,-93.0,-91.0,-0.0013522120261300688
16,-127.0,-125.0,-91.0,-89.0,-0.0010165027023489592
17,-127.0,-125.0,-89.0,-87.0,-0.0007727834456550467
18,-127.0,-125.0,-87.0,-85.0,-0.0005944292854723476
19,-127.0,-125.0,-85.0,-83.0,-0.0004628316054814535
20,-127.0,-125.0,-83.0,-81.0,-0.0003648963623825302
21,-127.0,-125.0,-81.0,-79.0,-0.00029135381458068876
22,-127.0,-125.0,-79.0,-77.0,-0.00023560420464482923
23,-127.0,-125.0,-77.0,-75.0,-0.00019292277869089464
24,-127.0,-125.0,-75.0,-73.0,-0.00015990850788081407
25,-127.0,-125.0,-73.0,-71.0,-0.0001340995694535524
26,-127.0,-125.0,-71.0,-69.0,-0.00011370375632381233
27,-127.0,-125.0,-69.0,-67.0,-9.740856694325992e-05
28,-127.0,-125.0,-67.0,-65.0,-8.424682326372071e-05
29,-127.0,-125.0,-65.0,-63.0,-7.35011653606385e-05
30,-127.0,-125.0,-63.0,-61.0,-6.46358821668469e-05
31,-127.0,-125.0,-61.0,-59.0,-5.724804279813936e-05
32,-127.0,-125.0,-59.0,-57.0,-5.103230971370207e-05
33,-127.0,-125.0,-57.0,-55.0,-4.5755489186123655e-05
34,-127.0,-125.0,-55.0,-53.0,-4.123803931180628e-05
35,-127.0,-125.0,-53.0,-51.0,-3.734056928816898e-05
36,-127.0,-125.0,-51.0,-49.0,-3.395393397527535e-05
37,-127.0,-125.0,-49.0,-47.0,-3.099192899623862e-05
38,-127.0,-125.0,-47.0,-45.0,-2.838587493353764e-05
39,-127.0,-125.0,-45.0,-43.0,-2.6080579914562058e-05
40,-127.0,-125.0,-43.0,-41.0,-2.403131262469424e-05
41,-127.0,-125.0,-41.0,-39.0,-2.2201519662166935e-05
42,-127.0,-125.0,-39.0,-37.0,-2.0561094145082892e-05
43,-127.0,-125.0,-37.0,-35.0,-1.908505501372476e-05
44,-127.0,-125.0,-35.0,-33.0,-1.7752534499197725e-05
45,-127.0,-125.0,-33.0,-31.0,-1.6545999010332546e-05
46,-127.0,-125.0,-31.0,-29.0,-1.5450649373728587e-05
47,-127.0,-125.0,-29.0,-27.0,-1.445396247921893e-05
48,-127.0,-125.0,-27.0,-25.0,-1.3545350452580374e-05
49,-127.0,-125.0,-25.0,-23.0,-1.2715929027920514e-05
50,-127.0,-125.0,-23.0,-21.0,-1.1958410596316776e-05
51,-127.0,-125.0,-21.0,-19.0,-1.1267184696479166e-05
52,-127.0,-125.0,-19.0,-17.0,-1.0638755103598019e-05
53,-127.0,-125.0,-17.0,-15.0,-1.0072947210575459e-05
54,-127.0,-125.0,-15.0,-13.0,-9.575815677047989e-06
55,-127.0,-125.0,-13.0,-11.0,-9.165865051903588e-06
56,-127.0,-125.0,-11.0,-9.0,-8.88294985434794e-06
57,-127.0,-125.0,-9.0,-7.0,-8.773445519007217e-06
58,-127.0,-125.0,-7.0,-5.0,-8.73945706580427e-06
59,-127.0,-125.0,-5.0,-3.0,-8.365034615457831e-06
60,-127.0,-125.0,-3.0,-1.0,-7.529293614414942e-06
61,-125.0,-123.0,-121.0,-119.0,-2.728571971237547
62,-125.0,-123.0,-119.0,-117.0,-0.6736589738034475
63,-125.0,-123.0,-117.0,-115.0,-0.2714375776870759
64,-125.0,-123.0,-115.0,-113.0,-0.1363190680767541
65,-125.0,-123.0,-113.0,-111.0,-0.07702807976529547
66,-125.0,-123.0,-111.0,-109.0,-0.04685382647783348
67,-125.0,-123.0,-109.0,-107.0,-0.029972388399475358
68,-125.0,-123.0,-107.0,-105.0,-0.01986970718219444
69,-125.0,-123.0,-105.0,-103.0,-0.013516795484257771
70,-125.0,-123.0,-103.0,-101.0,-0.009374001668268905
71,-125.0,-123.0,-101.0,-99.0,-0.006599690915594397
72,-125.0,-123.0,-99.0,-97.0,-0.004705021436845105
73,-125.0,-123.0,-97.0,-95.0,-0.003391719486424541
74,-125.0,-123.0,-95.0,-93.0,-0.00247063669104923
75,-125.0,-123.0,-93.0,-91.0,-0.0018182670950383228
76,-125.0,-123.0,-91.0,-89.0,-0.0013521878012318564
77,-125.0,-123.0,-89.0,-87.0,-0.0010164901499931447
78,-125.0,-123.0,-87.0,-85.0,-0.0007727790375902654
79,-125.0,-123.0,-85.0,-83.0,-0.0005944305196389083
80,-125.0,-123.0,-83.0,-81.0,-0.0004628367046822443
81,-125.0,-123.0,-81.0,-79.0,-0.00036490406300513506
82,-125.0,-123.0,-79.0,-77.0,-0.0002913632179446929
83,-125.0,-123.0,-77.0,-75.0,-0.00023561467206444087
84,-125.0,-123.0,-75.0,-73.0,-0.00019293385716120937
85,-125.0,-123.0,-73.0,-71.0,-0.0001599198772908178
86,-125.0,-123.0,-71.0,-69.0,-0.00013411100498265938
87,-125.0,-123.0,-69.0,-67.0,-0.00011371510158432463
88,-125.0,-123.0,-67.0,-65.0,-9.74197147543994e-05
89,-125.0,-123.0,-65.0,-63.0,-8.425770186630197e-05
90,-125.0,-123.0,-63.0,-61.0,-7.351172852701829e-05
91,-125.0,-123.0,-61.0,-59.0,-6.464610211533162e-05
92,-125.0,-123.0,-59.0,-57.0,-5.72579051422023e-05
93,-125.0,-123.0,-57.0,-55.0,-5.104180990538401e-05
94,-125.0,-123.0,-55.0,-53.0,-4.576463007876369e-05
95,-125.0,-123.0,-53.0,-51.0,-4.124682958899298e-05
96,-125.0,-123.0,-51.0,-49.0,-3.734902259983075e-05
97,-125.0,-123.0,-49.0,-47.0,-3.396206869738308e-05
98,-125.0,-123.0,-47.0,-45.0,-3.099976859883766e-05
99,-125.0,-123.0,-45.0,-43.0,-2.839344900841187e-05
100,-125.0,-123.0,-43.0,-41.0,-2.608792599083365e-05
101,-125.0,-123.0,-41.0,-39.0,-2.4038478994802687e-05
102,-125.0,-123.0,-39.0,-37.0,-2.2208569572086667e-05
103,-125.0,-123.0,-37.0,-35.0,-2.0568111894131436e-05
104,-125.0,-123.0,-35.0,-33.0,-1.9092154811529982e-05
105,-125.0,-123.0,-33.0,-31.0,-1.7759873436013623e-05
106,-125.0,-123.0,-31.0,-29.0,-1.655379642147639e-05
107,-125.0,-123.0,-29.0,-27.0,-1.5459216690553307e-05
108,-125.0,-123.0,-27.0,-25.0,-1.446375146674575e-05
109,-125.0,-123.0,-25.0,-23.0,-1.3557036205275735e-05
110,-125.0,-123.0,-23.0,-21.0,-1.273056374061568e-05
111,-125.0,-123.0,-21.0,-19.0,-1.19777308630227e-05
112,-125.0,-123.0,-19.0,-17.0,-1.1294267145921938e-05
113,-125.0,-123.0,-17.0,-15.0,-1.067947838067837e-05
114,-125.0,-123.0,-15.0,-13.0,-1.0139280416394253e-05
115,-125.0,-123.0,-13.0,-11.0,-9.692720979484828e-06
116,-125.0,-123.0,-11.0,-9.0,-9.381347427370873e-06
117,-125.0,-123.0,-9.0,-7.0,-9.253756510028965e-06
118,-125.0,-123.0,-7.0,-5.0,-9.207433633333026e-06
