,A,B,M,V/I
0,-127.0,-125.0,-123.0,-4.032461785250355
1,-127.0,-125.0,-121.0,-1.3038804557256534
2,-127.0,-125.0,-119.0,-0.630215185138902
3,-127.0,-125.0,-117.0,-0.3587733440402481
4,-127.0,-125.0,-115.0,-0.2224513705785368
5,-127.0,-125.0,-113.0,-0.1454212995126849
6,-127.0,-125.0,-111.0,-0.09856610201781713
7,-127.0,-125.0,-109.0,-0.06859276667424985
8,-127.0,-125.0,-107.0,-0.04872240436538641
9,-127.0,-125.0,-105.0,-0.035205155667907884
10,-127.0,-125.0,-103.0,-0.02583084113376133
11,-127.0,-125.0,-101.0,-0.019230935272572483
12,-127.0,-125.0,-99.0,-0.014525767414080723
13,-127.0,-125.0,-97.0,-0.011133949566455886
14,-127.0,-125.0,-95.0,-0.008663248270717225
15,-127.0,-125.0,-93.0,-0.0068449402924598
16,-127.0,-125.0,-91.0,-0.005492728266329731
17,-127.0,-125.0,-89.0,-0.004476225563980772
18,-127.0,-125.0,-87.0,-0.0037034421183257255
19,-127.0,-125.0,-85.0,-0.003109012832853378
20,-127.0,-125.0,-83.0,-0.0026461812273719243
21,-127.0,-125.0,-81.0,-0.002281284864989394
22,-127.0,-125.0,-79.0,-0.0019899310504087053
23,-127.0,-125.0,-77.0,-0.001754326845763876
24,-127.0,-125.0,-75.0,-0.0015614040670729815
25,-127.0,-125.0,-73.0,-0.0014014955591921674
26,-127.0,-125.0,-71.0,-0.0012673959897386115
27,-127.0,-125.0,-69.0,-0.0011536922334147992
28,-127.0,-125.0,-67.0,-0.0010562836664715393
29,-127.0,-125.0,-65.0,-0.0009720368432078186
30,-127.0,-125.0,-63.0,-0.0008985356778471801
31,-127.0,-125.0,-61.0,-0.0008338997956803332
32,-127.0,-125.0,-59.0,-0.0007766517528821938
33,-127.0,-125.0,-57.0,-0.0007256194431684918
34,-127.0,-125.0,-55.0,-0.0006798639539823681
35,-127.0,-125.0,-53.0,-0.0006386259146705618
36,-127.0,-125.0,-51.0,-0.0006012853453823928
37,-127.0,-125.0,-49.0,-0.0005673314114071175
38,-127.0,-125.0,-47.0,-0.0005363394824108789
39,-127.0,-125.0,-45.0,-0.0005079536074773412
40,-127.0,-125.0,-43.0,-0.00048187302756277917
41,-127.0,-125.0,-41.0,-0.0004578417149380849
42,-127.0,-125.0,-39.0,-0.000435640195275918
43,-127.0,-125.0,-37.0,-0.0004150791011308351
44,-127.0,-125.0,-35.0,-0.00039599404611711034
45,-127.0,-125.0,-33.0,-0.0003782415116179126
46,-127.0,-125.0,-31.0,-0.00036169551260758007
47,-127.0,-125.0,-29.0,-0.0003462448632338515
48,-127.0,-125.0,-27.0,-0.00033179090075463255
49,-127.0,-125.0,-25.0,-0.0003182455503020522
50,-127.0,-125.0,-23.0,-0.00030552962127413166
51,-127.0,-125.0,-21.0,-0.0002935712106778166
52,-127.0,-125.0,-19.0,-0.00028230402598133746
53,-127.0,-125.0,-17.0,-0.00027166527087773944
54,-127.0,-125.0,-15.0,-0.000261592323667164
55,-127.0,-125.0,-13.0,-0.000252016507990116
56,-127.0,-125.0,-11.0,-0.0002428506429382124
57,-127.0,-125.0,-9.0,-0.00023396769308386446
58,-127.0,-125.0,-7.0,-0.00022519424756485724
