,A,M,N,V/I
0,-127.0,-125.0,-123.0,4.032326600426171
1,-127.0,-123.0,-121.0,1.3037917202178038
2,-127.0,-121.0,-119.0,0.6301594436803957
3,-127.0,-119.0,-117.0,0.35874062750630875
4,-127.0,-117.0,-115.0,0.22243456120498062
5,-127.0,-115.0,-113.0,0.14541541094090915
6,-127.0,-113.0,-111.0,0.09856766976857423
7,-127.0,-111.0,-109.0,0.06859938982830499
8,-127.0,-109.0,-107.0,0.048732418882583145
9,-127.0,-107.0,-105.0,0.03521740698340439
10,-127.0,-105.0,-103.0,0.025844527304138
11,-127.0,-103.0,-101.0,0.01924549900440739
12,-127.0,-101.0,-99.0,0.014540821640659049
13,-127.0,-99.0,-97.0,0.011149226002491228
14,-127.0,-97.0,-95.0,0.008678561729360199
15,-127.0,-95.0,-93.0,0.006860163848107836
16,-127.0,-93.0,-91.0,0.005507775907601799
17,-127.0,-91.0,-89.0,0.0044910400390267766
18,-127.0,-89.0,-87.0,0.003717986392936419
19,-127.0,-87.0,-85.0,0.003123264071300015
20,-127.0,-85.0,-83.0,0.0026601265407904667
21,-127.0,-83.0,-81.0,0.0022949183021938185
22,-127.0,-81.0,-79.0,0.0020032514647098376
23,-127.0,-79.0,-77.0,0.0017673363812536202
24,-127.0,-77.0,-75.0,0.0015741070842011998
25,-127.0,-75.0,-73.0,0.0014138978727320992
26,-127.0,-73.0,-71.0,0.001279504329527708
27,-127.0,-71.0,-69.0,0.0011655138644654887
28,-127.0,-69.0,-67.0,0.001067826123544266
29,-127.0,-67.0,-65.0,0.000983307748064731
30,-127.0,-65.0,-63.0,0.0009095426167891885
31,-127.0,-63.0,-61.0,0.0008446502417565199
32,-127.0,-61.0,-59.0,0.0007871530221595646
33,-127.0,-59.0,-57.0,0.0007358786782496116
34,-127.0,-57.0,-55.0,0.0006898881309959151
35,-127.0,-55.0,-53.0,0.0006484218725788492
36,-127.0,-53.0,-51.0,0.0006108598389443949
37,-127.0,-51.0,-49.0,0.000576691191782306
38,-127.0,-49.0,-47.0,0.0005454914124868558
39,-127.0,-47.0,-45.0,0.0005169048229068524
40,-127.0,-45.0,-43.0,0.0004906311596652724
41,-127.0,-43.0,-41.0,0.00046641519869482576
42,-127.0,-41.0,-39.0,0.0004440386955527169
43,-127.0,-39.0,-37.0,0.0004233141044054159
44,-127.0,-37.0,-35.0,0.00040407968562327853
45,-127.0,-35.0,-33.0,0.00038619572478160516
46,-127.0,-33.0,-31.0,0.00036954167794161705
47,-127.0,-31.0,-29.0,0.00035401414323534344
48,-127.0,-29.0,-27.0,0.0003395256567301323
49,-127.0,-27.0,-25.0,0.0003260044587296944
50,-127.0,-25.0,-23.0,0.000313395658287096
51,-127.0,-23.0,-21.0,0.00030166483605494933
52,-127.0,-21.0,-19.0,0.00029080654443855783
53,-127.0,-19.0,-17.0,0.0002808635171961185
