,A,M,V/I
0,-127.0,-125.0,7.090180253447641
1,-127.0,-123.0,3.0578536530214695
2,-127.0,-121.0,1.7540619328036657
3,-127.0,-119.0,1.12390248912327
4,-127.0,-117.0,0.7651618616169613
5,-127.0,-115.0,0.5427273004119807
6,-127.0,-113.0,0.39731188947107154
7,-127.0,-111.0,0.2987442197024973
8,-127.0,-109.0,0.23014482987419232
9,-127.0,-107.0,0.18141241099160918
10,-127.0,-105.0,0.1461950040082048
11,-127.0,-103.0,0.12035047670406679
12,-127.0,-101.0,0.1011049776996594
13,-127.0,-99.0,0.08656415605900035
14,-127.0,-97.0,0.07541493005650912
15,-127.0,-95.0,0.06673636832714892
16,-127.0,-93.0,0.05987620447904109
17,-127.0,-91.0,0.05436842857143929
18,-127.0,-89.0,0.04987738853241251
19,-127.0,-87.0,0.04615940213947609
20,-127.0,-85.0,0.04303613806817608
21,-127.0,-83.0,0.04037601152738561
22,-127.0,-81.0,0.03808109322519179
23,-127.0,-79.0,0.036077841760481955
24,-127.0,-77.0,0.034310505379228334
25,-127.0,-75.0,0.032736398295027135
26,-127.0,-73.0,0.031322500422295035
27,-127.0,-71.0,0.030042996092767327
28,-127.0,-69.0,0.02887748222830184
29,-127.0,-67.0,0.027809656104757573
30,-127.0,-65.0,0.026826348356692842
31,-127.0,-63.0,0.025916805739903653
32,-127.0,-61.0,0.025072155498147133
33,-127.0,-59.0,0.02428500247598757
34,-127.0,-57.0,0.023549123797737957
35,-127.0,-55.0,0.022859235666742042
36,-127.0,-53.0,0.022210813794163193
37,-127.0,-51.0,0.021599953955218798
38,-127.0,-49.0,0.021023262763436492
39,-127.0,-47.0,0.020477771350949636
40,-127.0,-45.0,0.019960866528042784
41,-127.0,-43.0,0.01947023536837751
42,-127.0,-41.0,0.019003820169682686
43,-127.0,-39.0,0.01855978147412997
44,-127.0,-37.0,0.018136467369724553
45,-127.0,-35.0,0.017732387684101274
46,-127.0,-33.0,0.01734619195931967
47,-127.0,-31.0,0.016976650281378052
48,-127.0,-29.0,0.01662263613814271
49,-127.0,-27.0,0.016283110481412576
50,-127.0,-25.0,0.015957106022682882
51,-127.0,-23.0,0.015643710364395786
52,-127.0,-21.0,0.015342045528340837
53,-127.0,-19.0,0.015051238983902279
54,-127.0,-17.0,0.01477037546670616
55,-127.0,-15.0,0.014498405306067014
56,-127.0,-13.0,0.014233955301313776
57,-127.0,-11.0,0.013974939102877802
58,-127.0,-9.0,0.013717897836333202
59,-127.0,-7.0,0.013457889436846861
60,-127.0,-5.0,0.013193335723575658
61,-127.0,-3.0,0.01293623255117532
62,-127.0,-1.0,0.012702293943770709
63,-125.0,-123.0,7.0903154382718245
64,-125.0,-121.0,3.057942388529319
65,-125.0,-119.0,1.754117674262172
66,-125.0,-117.0,1.1239352056572094
67,-125.0,-115.0,0.7651786709905175
68,-125.0,-113.0,0.5427331889837564
69,-125.0,-111.0,0.39731032172031444
70,-125.0,-109.0,0.2987375965484422
71,-125.0,-107.0,0.2301348153569956
72,-125.0,-105.0,0.18140015967611267
73,-125.0,-103.0,0.14618131783782812
74,-125.0,-101.0,0.12033591297223188
75,-125.0,-99.0,0.10108992347308107
76,-125.0,-97.0,0.08654887962296501
77,-125.0,-95.0,0.07539961659786615
78,-125.0,-93.0,0.06672114477150089
79,-125.0,-91.0,0.05986115683776902
80,-125.0,-89.0,0.054353614096393284
81,-125.0,-87.0,0.04986284425780182
82,-125.0,-85.0,0.046145150901029455
83,-125.0,-83.0,0.043022192754757535
84,-125.0,-81.0,0.040362378090181186
85,-125.0,-79.0,0.03806777281089066
86,-125.0,-77.0,0.03606483222499221
87,-125.0,-75.0,0.034297802362100116
88,-125.0,-73.0,0.0327239959814872
89,-125.0,-71.0,0.03131039208250594
90,-125.0,-69.0,0.030031174461716638
91,-125.0,-67.0,0.028865939771229112
92,-125.0,-65.0,0.02779838519990066
93,-125.0,-63.0,0.026815341417750833
94,-125.0,-61.0,0.025906055293827467
95,-125.0,-59.0,0.025061654228869763
96,-125.0,-57.0,0.02427474324090645
97,-125.0,-55.0,0.02353909962072441
98,-125.0,-53.0,0.022849439708833755
99,-125.0,-51.0,0.02220123930060119
100,-125.0,-49.0,0.02159059417484361
101,-125.0,-47.0,0.021014110833360515
102,-125.0,-45.0,0.020468820135520125
103,-125.0,-43.0,0.01995210839594029
104,-125.0,-41.0,0.01946166188462077
105,-125.0,-39.0,0.018995421669405887
106,-125.0,-37.0,0.018551546470855388
107,-125.0,-35.0,0.018128381730218385
108,-125.0,-33.0,0.017724433470937582
109,-125.0,-31.0,0.017338345793985632
