,A,B,M,N,V/I
0,-127.0,-121.0,-125.0,-123.0,8.064759701784205
1,-125.0,-119.0,-123.0,-121.0,8.06479076543604
2,-123.0,-117.0,-121.0,-119.0,8.064806549900899
3,-121.0,-115.0,-119.0,-117.0,8.064814602785685
4,-119.0,-113.0,-117.0,-115.0,8.064818660437933
5,-117.0,-111.0,-115.0,-113.0,8.06482067964539
6,-115.0,-109.0,-113.0,-111.0,8.064821671638347
7,-113.0,-107.0,-111.0,-109.0,8.064822149446258
8,-111.0,-105.0,-109.0,-107.0,8.06482237064974
9,-109.0,-103.0,-107.0,-105.0,8.064822464184417
10,-107.0,-101.0,-105.0,-103.0,8.064822494686066
11,-105.0,-99.0,-103.0,-101.0,8.064822494660095
12,-103.0,-97.0,-101.0,-99.0,8.064822480491772
13,-101.0,-95.0,-99.0,-97.0,8.06482246043002
14,-99.0,-93.0,-97.0,-95.0,8.064822438591454
15,-97.0,-91.0,-95.0,-93.0,8.064822416983969
16,-95.0,-89.0,-93.0,-91.0,8.064822396537839
17,-93.0,-87.0,-91.0,-89.0,8.064822377635222
18,-91.0,-85.0,-89.0,-87.0,8.064822360383955
19,-89.0,-83.0,-87.0,-85.0,8.064822344759635
20,-87.0,-81.0,-85.0,-83.0,8.064822330679558
21,-85.0,-79.0,-83.0,-81.0,8.064822318041095
22,-83.0,-77.0,-81.0,-79.0,8.064822306741537
23,-81.0,-75.0,-79.0,-77.0,8.064822296688462
24,-79.0,-73.0,-77.0,-75.0,8.064822287805388
25,-77.0,-71.0,-75.0,-73.0,8.06482228003558
26,-75.0,-69.0,-73.0,-71.0,8.064822273345648
27,-73.0,-67.0,-71.0,-69.0,8.064822267730412
28,-71.0,-65.0,-69.0,-67.0,8.064822263220663
29,-69.0,-63.0,-67.0,-65.0,8.064822259896072
30,-67.0,-61.0,-65.0,-63.0,8.064822257907151
31,-65.0,-59.0,-63.0,-61.0,8.064822257512935
32,-63.0,-57.0,-61.0,-59.0,8.064822259146425
33,-61.0,-55.0,-59.0,-57.0,8.064822263529452
34,-59.0,-53.0,-57.0,-55.0,8.064822271876512
35,-57.0,-51.0,-55.0,-53.0,8.064822286260473
36,-55.0,-49.0,-53.0,-51.0,8.06482231027483
37,-53.0,-47.0,-51.0,-49.0,8.06482235024389
38,-51.0,-45.0,-49.0,-47.0,8.064822417452648
39,-49.0,-43.0,-47.0,-45.0,8.064822532287781
40,-47.0,-41.0,-45.0,-43.0,8.064822731986593
41,-45.0,-39.0,-43.0,-41.0,8.064823085246942
42,-43.0,-37.0,-41.0,-39.0,8.064823719984016
43,-41.0,-35.0,-39.0,-37.0,8.064824876481469
44,-39.0,-33.0,-37.0,-35.0,8.064827010019012
45,-37.0,-31.0,-35.0,-33.0,8.064830990806605
46,-35.0,-29.0,-33.0,-31.0,8.064838497317185
47,-33.0,-27.0,-31.0,-29.0,8.064852798684353
48,-31.0,-25.0,-29.0,-27.0,8.064880331265709
49,-29.0,-23.0,-27.0,-25.0,8.064933926472591
50,-27.0,-21.0,-25.0,-23.0,8.065039558339091
51,-25.0,-19.0,-23.0,-21.0,8.065250861159639
52,-23.0,-17.0,-21.0,-19.0,8.065681680838164
53,-21.0,-15.0,-19.0,-17.0,8.066583427486275
54,-19.0,-13.0,-17.0,-15.0,8.068542888996925
55,-17.0,-11.0,-15.0,-13.0,8.07302330794121
56,-15.0,-9.0,-13.0,-11.0,8.083826185013539
57,-13.0,-7.0,-11.0,-9.0,8.109784077792593
58,-11.0,-5.0,-9.0,-7.0,8.159483642579135
59,-9.0,-3.0,-7.0,-5.0,8.19936048572359
60,-7.0,-1.0,-5.0,-3.0,8.169606400670297
61,-5.0,1.0,-3.0,-1.0,8.127621218401156
62,-3.0,3.0,-1.0,1.0,8.12056528780589
63,-1.0,5.0,1.0,3.0,8.124124425874598
64,1.0,7.0,3.0,5.0,8.125525511920923
65,3.0,9.0,5.0,7.0,8.121341476000428
66,5.0,11.0,7.0,9.0,8.110777750962633
67,7.0,13.0,9.0,11.0,8.097163984961757
68,9.0,15.0,11.0,13.0,8.085012543424135
69,11.0,17.0,13.0,15.0,8.076433015821895
70,13.0,19.0,15.0,17.0,8.07118607190566
71,15.0,21.0,17.0,19.0,8.068228990712065
72,17.0,23.0,19.0,21.0,8.066631459185409
73,19.0,25.0,21.0,23.0,8.065784346078093
74,21.0,27.0,23.0,25.0,8.065337358487984
75,23.0,29.0,25.0,27.0,8.065100818193525
76,25.0,31.0,27.0,29.0,8.064974722082237
77,27.0,33.0,29.0,31.0,8.064906831731161
78,29.0,35.0,31.0,33.0,8.06486985598817
79,31.0,37.0,33.0,35.0,8.064849461852068
80,33.0,39.0,35.0,37.0,8.06483806058452
81,35.0,41.0,37.0,39.0,8.064831595050059
82,37.0,43.0,39.0,41.0,8.064827872902185
83,39.0,45.0,41.0,43.0,8.064825695952234
84,41.0,47.0,43.0,45.0,8.064824401531034
85,43.0,49.0,45.0,47.0,8.064823618584668
86,45.0,51.0,47.0,49.0,8.06482313665681
87,47.0,53.0,49.0,51.0,8.06482283477252
88,49.0,55.0,51.0,53.0,8.064822642419607
89,51.0,57.0,53.0,55.0,8.06482251790275
90,53.0,59.0,55.0,57.0,8.064822436197883
91,55.0,61.0,57.0,59.0,8.064822382056796
92,57.0,63.0,59.0,61.0,8.064822346044597
93,59.0,65.0,61.0,63.0,8.064822322234045
94,61.0,67.0,63.0,65.0,8.064822306846505
95,63.0,69.0,65.0,67.0,8.064822297440312
96,65.0,71.0,67.0,69.0,8.0648222924195
97,67.0,73.0,69.0,71.0,8.064822290732435
98,69.0,75.0,71.0,73.0,8.064822291684475
99,71.0,77.0,73.0,75.0,8.064822294820004
100,73.0,79.0,75.0,77.0,8.064822299847147
101,75.0,81.0,77.0,79.0,8.064822306589146
102,77.0,83.0,79.0,81.0,8.064822314952323
103,79.0,85.0,81.0,83.0,8.064822324904243
104,81.0,87.0,83.0,85.0,8.064822336457599
105,83.0,89.0,85.0,87.0,8.064822349656069
106,85.0,91.0,87.0,89.0,8.064822364558143
107,87.0,93.0,89.0,91.0,8.064822381213137
108,89.0,95.0,91.0,93.0,8.06482239961997
109,91.0,97.0,93.0,95.0,8.064822419651183
110,93.0,99.0,95.0,97.0,8.064822440909305
111,95.0,101.0,97.0,99.0,8.064822462452073
112,97.0,103.0,99.0,101.0,8.064822482262098
113,99.0,105.0,101.0,103.0,8.064822496215163
114,101.0,107.0,103.0,105.0,8.064822496056273
115,103.0,109.0,105.0,107.0,8.06482246539521
116,105.0,111.0,107.0,109.0,8.064822371722542
117,107.0,113.0,109.0,111.0,8.064822150399198
118,109.0,115.0,111.0,113.0,8.064821672486822
119,111.0,117.0,113.0,115.0,8.064820680402544
120,113.0,119.0,115.0,117.0,8.064818661115028
121,115.0,121.0,117.0,119.0,8.064814603392385
122,117.0,123.0,119.0,121.0,8.064806550445564
123,119.0,125.0,121.0,123.0,8.06479076592588
124,121.0,127.0,123.0,125.0,8.064759702225482
125,-127.0,-115.0,-123.0,-119.0,3.86799154531255
126,-125.0,-113.0,-121.0,-117.0,3.868041526220195
127,-123.0,-111.0,-119.0,-115.0,3.8680672857236846
128,-121.0,-109.0,-117.0,-113.0,3.868080361053984
129,-119.0,-107.0,-115.0,-111.0,3.86808688982451
130,-117.0,-105.0,-113.0,-109.0,3.8680900943751206
131,-115.0,-103.0,-111.0,-107.0,3.8680916277172024
132,-113.0,-101.0,-109.0,-105.0,3.868092325608184
133,-111.0,-99.0,-107.0,-103.0,3.8680926081609504
134,-109.0,-97.0,-105.0,-101.0,3.86809268647252
135,-107.0,-95.0,-103.0,-99.0,3.8680926667997078
136,-105.0,-93.0,-101.0,-97.0,3.8680926026754574
137,-103.0,-91.0,-99.0,-95.0,3.868092520984141
138,-101.0,-89.0,-97.0,-93.0,3.86809243506855
139,-99.0,-87.0,-95.0,-91.0,3.8680923513642282
140,-97.0,-85.0,-93.0,-89.0,3.868092272783635
141,-95.0,-83.0,-91.0,-87.0,3.868092200455193
142,-93.0,-81.0,-89.0,-85.0,3.868092134622384
143,-91.0,-79.0,-87.0,-83.0,3.868092075110393
