,A,B,M,V/I
0,-635.0,-625.0,-615.0,-0.8098896388803324
1,-635.0,-625.0,-605.0,-0.26613121380806726
2,-635.0,-625.0,-595.0,-0.13292131888934144
3,-635.0,-625.0,-585.0,-0.07967797694037265
4,-635.0,-625.0,-575.0,-0.05300534369968862
5,-635.0,-625.0,-565.0,-0.037806242517443966
6,-635.0,-625.0,-555.0,-0.028344835187528672
7,-635.0,-625.0,-545.0,-0.02204970979594234
8,-635.0,-625.0,-535.0,-0.017640663288059827
9,-635.0,-625.0,-525.0,-0.014427384940211951
10,-635.0,-625.0,-515.0,-0.012011653006064271
11,-635.0,-625.0,-505.0,-0.010149941069838492
12,-635.0,-625.0,-495.0,-0.008685755861677275
13,-635.0,-625.0,-485.0,-0.007514318075085652
14,-635.0,-625.0,-475.0,-0.006563092076689578
15,-635.0,-625.0,-465.0,-0.00578049044164497
16,-635.0,-625.0,-455.0,-0.00512900911039163
17,-635.0,-625.0,-445.0,-0.004580880991909925
18,-635.0,-625.0,-435.0,-0.004115226406969111
19,-635.0,-625.0,-425.0,-0.003716129822506603
20,-635.0,-625.0,-415.0,-0.003371310390471144
21,-635.0,-625.0,-405.0,-0.0030711847356029165
22,-635.0,-625.0,-395.0,-0.0028081954108683804
23,-635.0,-625.0,-385.0,-0.0025763230460132402
24,-635.0,-625.0,-375.0,-0.0023707277014271416
25,-635.0,-625.0,-365.0,-0.0021874824124655107
26,-635.0,-625.0,-355.0,-0.0020233733196138998
27,-635.0,-625.0,-345.0,-0.0018757484030490837
28,-635.0,-625.0,-335.0,-0.0017424020317297131
29,-635.0,-625.0,-325.0,-0.0016214861299980107
30,-635.0,-625.0,-315.0,-0.001511441284999901
31,-635.0,-625.0,-305.0,-0.001410942906719788
32,-635.0,-625.0,-295.0,-0.001318858834344988
33,-635.0,-625.0,-285.0,-0.0012342157096832604
34,-635.0,-625.0,-275.0,-0.0011561721141384318
35,-635.0,-625.0,-265.0,-0.0010839969621393233
36,-635.0,-625.0,-255.0,-0.001017052011268435
37,-635.0,-625.0,-245.0,-0.0009547776233300095
38,-635.0,-625.0,-235.0,-0.0008966811167928357
39,-635.0,-625.0,-225.0,-0.0008423272079784438
40,-635.0,-625.0,-215.0,-0.0007913301597185646
41,-635.0,-625.0,-205.0,-0.0007433473523409187
42,-635.0,-625.0,-195.0,-0.0006980740709873305
43,-635.0,-625.0,-185.0,-0.000655239372492105
44,-635.0,-625.0,-175.0,-0.0006146029611879059
45,-635.0,-625.0,-165.0,-0.0005759530736871819
46,-635.0,-625.0,-155.0,-0.0005391054575201171
47,-635.0,-625.0,-145.0,-0.00050390364035683
48,-635.0,-625.0,-135.0,-0.0004702208418911752
49,-635.0,-625.0,-125.0,-0.0004379640953408037
50,-635.0,-625.0,-115.0,-0.00040708141527696223
51,-635.0,-625.0,-105.0,-0.0003775730785019922
52,-635.0,-625.0,-95.0,-0.0003495078925646253
53,-635.0,-625.0,-85.0,-0.00032304359047473016
54,-635.0,-625.0,-75.0,-0.00029844475476526605
55,-635.0,-625.0,-65.0,-0.0002760791625814746
56,-635.0,-625.0,-55.0,-0.00025635943041679016
57,-635.0,-625.0,-45.0,-0.0002396108664461695
58,-635.0,-625.0,-35.0,-0.00022591975324552996
59,-635.0,-625.0,-25.0,-0.00021507806086203118
60,-635.0,-625.0,-15.0,-0.00020666489053166454
61,-635.0,-625.0,-5.0,-0.00020018088179187335
62,-625.0,-615.0,-605.0,-0.8098829062645729
63,-625.0,-615.0,-595.0,-0.2661258896169387
64,-625.0,-615.0,-585.0,-0.13291688646288013
65,-625.0,-615.0,-575.0,-0.0796741151094601
66,-625.0,-615.0,-565.0,-0.05300184794732343
67,-625.0,-615.0,-555.0,-0.03780297875801181
68,-625.0,-615.0,-545.0,-0.028341712764250293
69,-625.0,-615.0,-535.0,-0.02204666549658446
70,-625.0,-615.0,-525.0,-0.01763765167199366
71,-625.0,-615.0,-515.0,-0.014424372331899027
72,-625.0,-615.0,-505.0,-0.012008613665464102
73,-625.0,-615.0,-495.0,-0.010146854688081852
74,-625.0,-615.0,-485.0,-0.008682605884234723
75,-625.0,-615.0,-475.0,-0.0075110905541675155
76,-625.0,-615.0,-465.0,-0.006559774869566035
77,-625.0,-615.0,-455.0,-0.005777072639442549
78,-625.0,-615.0,-445.0,-0.005125480623000375
79,-625.0,-615.0,-435.0,-0.0045772322401027715
80,-625.0,-615.0,-425.0,-0.00411144808898295
81,-625.0,-615.0,-415.0,-0.003712212732785186
82,-625.0,-615.0,-405.0,-0.003367245275162273
83,-625.0,-615.0,-395.0,-0.003066962174027965
84,-625.0,-615.0,-385.0,-0.0028038057153381424
85,-625.0,-615.0,-375.0,-0.0025717561745552814
86,-625.0,-615.0,-365.0,-0.0023659731795428046
87,-625.0,-615.0,-355.0,-0.0021825292611639957
88,-625.0,-615.0,-345.0,-0.0020182099878239892
89,-625.0,-615.0,-335.0,-0.0018703627031896944
90,-625.0,-615.0,-325.0,-0.001736781077806858
91,-625.0,-615.0,-315.0,-0.0016156162781503988
92,-625.0,-615.0,-305.0,-0.001505308076995518
93,-625.0,-615.0,-295.0,-0.0014045310175694672
94,-625.0,-615.0,-285.0,-0.0013121520260101632
95,-625.0,-615.0,-275.0,-0.00122719679389513
96,-625.0,-615.0,-265.0,-0.0011488229287185472
97,-625.0,-615.0,-255.0,-0.0010762983670595805
98,-625.0,-615.0,-245.0,-0.0010089839132099848
99,-625.0,-615.0,-235.0,-0.0009463190409807684
100,-625.0,-615.0,-225.0,-0.0008878103039748203
101,-625.0,-615.0,-215.0,-0.0008330218585347535
