,A,M,N,V/I
0,-635.0,-625.0,-615.0,0.809951348236665
1,-635.0,-615.0,-605.0,0.2662023189663174
2,-635.0,-605.0,-595.0,0.13299962594915882
3,-635.0,-595.0,-585.0,0.07976202695281726
4,-635.0,-585.0,-575.0,0.053094179083979454
5,-635.0,-575.0,-565.0,0.03789923907552223
6,-635.0,-565.0,-555.0,0.028441590236867986
7,-635.0,-555.0,-545.0,0.022149969916805567
8,-635.0,-545.0,-535.0,0.01774427787731908
9,-635.0,-535.0,-525.0,0.014534276104166577
10,-635.0,-525.0,-515.0,0.012121795773290422
11,-635.0,-515.0,-505.0,0.01026335019340116
12,-635.0,-505.0,-495.0,0.008802476901217632
13,-635.0,-495.0,-485.0,0.007634421313665263
14,-635.0,-485.0,-475.0,0.006686668353329567
15,-635.0,-475.0,-465.0,0.005907648304374569
16,-635.0,-465.0,-455.0,0.005259872897335538
17,-635.0,-455.0,-445.0,0.004715589577170581
18,-635.0,-445.0,-435.0,0.00425393243191638
19,-635.0,-435.0,-425.0,0.0038589992883903135
20,-635.0,-425.0,-415.0,0.003518522525225304
21,-635.0,-415.0,-405.0,0.003222932072611845
22,-635.0,-405.0,-395.0,0.0029646840342638092
23,-635.0,-395.0,-385.0,0.0027377729682575014
24,-635.0,-385.0,-375.0,0.0025373733460932607
25,-635.0,-375.0,-365.0,0.002359573179226214
26,-635.0,-365.0,-355.0,0.002201174210066735
27,-635.0,-355.0,-345.0,0.002059540685402539
28,-635.0,-345.0,-335.0,0.0019324839195857535
29,-635.0,-335.0,-325.0,0.0018181734453030438
30,-635.0,-325.0,-315.0,0.0017150680672958982
31,-635.0,-315.0,-305.0,0.0016218619194599895
32,-635.0,-305.0,-295.0,0.00153744190328816
33,-635.0,-295.0,-285.0,0.0014608538068951737
34,-635.0,-285.0,-275.0,0.001391275072026979
35,-635.0,-275.0,-265.0,0.0013279926626009603
36,-635.0,-265.0,-255.0,0.0012703848417589952
37,-635.0,-255.0,-245.0,0.0012179059192979833
38,-635.0,-245.0,-235.0,0.0011700732110060258
39,-635.0,-235.0,-225.0,0.0011264555710342253
40,-635.0,-225.0,-215.0,0.0010866629264887628
41,-635.0,-215.0,-205.0,0.001050336262180443
42,-635.0,-205.0,-195.0,0.0010171374682444653
43,-635.0,-195.0,-185.0,0.0009867383604451468
44,-635.0,-185.0,-175.0,0.0009588079857417303
45,-635.0,-175.0,-165.0,0.0009329969883293023
46,-635.0,-165.0,-155.0,0.0009089172613829834
47,-635.0,-155.0,-145.0,0.0008861142447700796
48,-635.0,-145.0,-135.0,0.0008640279412095442
49,-635.0,-135.0,-125.0,0.0008419370277077849
50,-635.0,-125.0,-115.0,0.0008188789336279652
51,-635.0,-115.0,-105.0,0.00079354002310476
52,-635.0,-105.0,-95.0,0.0007641222730622767
53,-635.0,-95.0,-85.0,0.0007282371095493484
54,-635.0,-85.0,-75.0,0.000682991084848622
55,-635.0,-75.0,-65.0,0.0006256201018656066
56,-635.0,-65.0,-55.0,0.000555067859750423
57,-635.0,-55.0,-45.0,0.0004740984899008656
58,-635.0,-45.0,-35.0,0.0003898420702029143
59,-635.0,-35.0,-25.0,0.0003110146845590571
60,-635.0,-25.0,-15.0,0.00024399187696712288
61,-635.0,-15.0,-5.0,0.0001912889843154221
62,-625.0,-615.0,-605.0,0.8099607440385825
63,-625.0,-605.0,-595.0,0.26620952086788463
64,-625.0,-595.0,-585.0,0.13300536890178605
65,-625.0,-585.0,-575.0,0.07976681232466348
66,-625.0,-575.0,-565.0,0.053098340257766885
67,-625.0,-565.0,-555.0,0.03790299756678328
68,-625.0,-555.0,-545.0,0.0284450953083919
69,-625.0,-545.0,-535.0,0.022153324385201595
70,-625.0,-535.0,-525.0,0.017747554452014452
71,-625.0,-525.0,-515.0,0.014537527707438103
72,-625.0,-515.0,-505.0,0.01212506212962694
73,-625.0,-505.0,-495.0,0.010266662109378849
74,-625.0,-495.0,-485.0,0.008805859100256885
75,-625.0,-485.0,-475.0,0.007637894351725641
