,A,M,V/I
0,-635.0,-625.0,1.6051524589968547
1,-635.0,-615.0,0.7952011107601896
2,-635.0,-605.0,0.5289987917938722
3,-635.0,-595.0,0.3959991658447134
4,-635.0,-585.0,0.31623713889189614
5,-635.0,-575.0,0.2631429598079167
6,-635.0,-565.0,0.22524372073239446
7,-635.0,-555.0,0.19680213049552647
8,-635.0,-545.0,0.1746521605787209
9,-635.0,-535.0,0.15690788270140182
10,-635.0,-525.0,0.14237360659723525
11,-635.0,-515.0,0.13025181082394482
12,-635.0,-505.0,0.11998846063054366
13,-635.0,-495.0,0.11118598372932603
14,-635.0,-485.0,0.10355156241566077
15,-635.0,-475.0,0.0968648940623312
16,-635.0,-465.0,0.09095724575795663
17,-635.0,-455.0,0.0856973728606211
18,-635.0,-445.0,0.08098178328345051
19,-635.0,-435.0,0.07672785085153414
20,-635.0,-425.0,0.07286885156314382
21,-635.0,-415.0,0.06935032903791852
22,-635.0,-405.0,0.06612739696530667
23,-635.0,-395.0,0.06316271293104286
24,-635.0,-385.0,0.06042493996278536
25,-635.0,-375.0,0.0578875666166921
26,-635.0,-365.0,0.05552799343746589
27,-635.0,-355.0,0.05332681922739915
28,-635.0,-345.0,0.051267278541996614
29,-635.0,-335.0,0.04933479462241086
30,-635.0,-325.0,0.047516621177107816
31,-635.0,-315.0,0.04580155310981192
32,-635.0,-305.0,0.04417969119035193
33,-635.0,-295.0,0.04264224928706377
34,-635.0,-285.0,0.041181395480168595
35,-635.0,-275.0,0.039790120408141616
36,-635.0,-265.0,0.038462127745540656
37,-635.0,-255.0,0.03719174290378166
38,-635.0,-245.0,0.03597383698448368
39,-635.0,-235.0,0.03480376377347765
40,-635.0,-225.0,0.033677308202443426
41,-635.0,-215.0,0.03259064527595466
42,-635.0,-205.0,0.03154030901377422
43,-635.0,-195.0,0.030523171545529755
44,-635.0,-185.0,0.029536433185084608
45,-635.0,-175.0,0.028577625199342878
46,-635.0,-165.0,0.027644628211013576
47,-635.0,-155.0,0.026735710949630592
48,-635.0,-145.0,0.025849596704860513
49,-635.0,-135.0,0.02498556876365097
50,-635.0,-125.0,0.024143631735943184
51,-635.0,-115.0,0.02332475280231522
52,-635.0,-105.0,0.02253121277921046
53,-635.0,-95.0,0.021767090506148182
54,-635.0,-85.0,0.021038853396598833
55,-635.0,-75.0,0.02035586231175021
56,-635.0,-65.0,0.019730242209884605
57,-635.0,-55.0,0.019175174350134182
58,-635.0,-45.0,0.018701075860233316
59,-635.0,-35.0,0.018311233790030402
60,-635.0,-25.0,0.018000219105471345
61,-635.0,-15.0,0.017756227228504222
62,-635.0,-5.0,0.0175649382441888
63,-625.0,-615.0,1.605090749640522
64,-625.0,-605.0,0.7951300056019395
65,-625.0,-595.0,0.5289204847340548
66,-625.0,-585.0,0.3959151158322688
67,-625.0,-575.0,0.3161483035076053
68,-625.0,-565.0,0.2630499632498384
69,-625.0,-555.0,0.22514696568305514
70,-625.0,-545.0,0.19670187037466325
71,-625.0,-535.0,0.17454854598946165
72,-625.0,-525.0,0.1568009915374472
73,-625.0,-515.0,0.1422634638300091
74,-625.0,-505.0,0.13013840170038216
75,-625.0,-495.0,0.1198717395910033
76,-625.0,-485.0,0.11106588049074642
77,-625.0,-475.0,0.10342798613902078
78,-625.0,-465.0,0.0967377361996016
79,-625.0,-455.0,0.09082638197101273
80,-625.0,-445.0,0.08556266427536044
81,-625.0,-435.0,0.08084307725850325
82,-625.0,-425.0,0.07658498138565042
83,-625.0,-415.0,0.07272163942838966
84,-625.0,-405.0,0.06919858170090959
85,-625.0,-395.0,0.06597090834191124
86,-625.0,-385.0,0.0630012630087986
87,-625.0,-375.0,0.06025829431811924
88,-625.0,-365.0,0.0577154758499314
89,-625.0,-355.0,0.05535019254701305
90,-625.0,-345.0,0.0531430269450457
91,-625.0,-335.0,0.05107719665414057
92,-625.0,-325.0,0.04913810730710583
93,-625.0,-315.0,0.04731299439481182
94,-625.0,-305.0,0.04559063409707172
95,-625.0,-295.0,0.04396110812140876
96,-625.0,-285.0,0.042415611189851855
97,-625.0,-275.0,0.04094629252228005
98,-625.0,-265.0,0.03954612470767998
99,-625.0,-255.0,0.038208794915050096
100,-625.0,-245.0,0.03692861460781369
101,-625.0,-235.0,0.03570044489027049
102,-625.0,-225.0,0.03451963541042187
103,-625.0,-215.0,0.03338197543567323
104,-625.0,-205.0,0.03228365636611514
105,-625.0,-195.0,0.031221245616517086
106,-625.0,-185.0,0.030191672557576713
107,-625.0,-175.0,0.029192228160530784
108,-625.0,-165.0,0.028220581284700758
109,-625.0,-155.0,0.02727481640715071
110,-625.0,-145.0,0.026353500345217343
111,-625.0,-135.0,0.025455789605542144
112,-625.0,-125.0,0.024581595831283987
113,-625.0,-115.0,0.02373183421759218
