,A,B,M,N,V/I
0,-635.0,-605.0,-625.0,-615.0,1.6198342545012379
1,-625.0,-595.0,-615.0,-605.0,1.6198389600183662
2,-615.0,-585.0,-605.0,-595.0,1.619841019136996
3,-605.0,-575.0,-595.0,-585.0,1.6198419285035188
4,-595.0,-565.0,-585.0,-575.0,1.6198422860792
5,-585.0,-555.0,-575.0,-565.0,1.6198423542293092
6,-575.0,-545.0,-565.0,-555.0,1.6198422557974603
7,-565.0,-535.0,-555.0,-545.0,1.6198420508970315
8,-555.0,-525.0,-545.0,-535.0,1.6198417695591907
9,-545.0,-515.0,-535.0,-525.0,1.6198414265207126
10,-535.0,-505.0,-525.0,-515.0,1.6198410282666915
11,-525.0,-495.0,-515.0,-505.0,1.6198405765145294
12,-515.0,-485.0,-505.0,-495.0,1.6198400699783733
13,-505.0,-475.0,-495.0,-485.0,1.6198395052628922
14,-495.0,-465.0,-485.0,-475.0,1.6198388772938974
15,-485.0,-455.0,-475.0,-465.0,1.619838179487279
16,-475.0,-445.0,-465.0,-455.0,1.6198374037571526
17,-465.0,-435.0,-455.0,-445.0,1.6198365404130342
18,-455.0,-425.0,-445.0,-435.0,1.6198355779685034
19,-445.0,-415.0,-435.0,-425.0,1.6198345028680547
20,-435.0,-405.0,-425.0,-415.0,1.6198332991288678
21,-425.0,-395.0,-415.0,-405.0,1.619831947886691
22,-415.0,-385.0,-405.0,-395.0,1.6198304268284853
23,-405.0,-375.0,-395.0,-385.0,1.6198287094876453
24,-395.0,-365.0,-385.0,-375.0,1.6198267643698467
25,-385.0,-355.0,-375.0,-365.0,1.6198245538680933
26,-375.0,-345.0,-365.0,-355.0,1.6198220329135806
27,-365.0,-335.0,-355.0,-345.0,1.6198191472935741
28,-355.0,-325.0,-345.0,-335.0,1.61981583154731
29,-345.0,-315.0,-335.0,-325.0,1.6198120063242096
30,-335.0,-305.0,-325.0,-315.0,1.6198075750526262
31,-325.0,-295.0,-315.0,-305.0,1.6198024197184107
32,-315.0,-285.0,-305.0,-295.0,1.619796395484765
33,-305.0,-275.0,-295.0,-285.0,1.619789323789733
34,-295.0,-265.0,-285.0,-275.0,1.6197809834222392
35,-285.0,-255.0,-275.0,-265.0,1.6197710988817375
36,-275.0,-245.0,-265.0,-255.0,1.6197593250400284
37,-265.0,-235.0,-255.0,-245.0,1.619745226700594
38,-255.0,-225.0,-245.0,-235.0,1.6197282510224693
39,-245.0,-215.0,-235.0,-225.0,1.619707689844578
40,-235.0,-205.0,-225.0,-215.0,1.6196826275820253
41,-225.0,-195.0,-215.0,-205.0,1.6196518684194485
42,-215.0,-185.0,-205.0,-195.0,1.6196138338982902
43,-205.0,-175.0,-195.0,-185.0,1.6195664188407535
44,-195.0,-165.0,-185.0,-175.0,1.619506790834781
45,-185.0,-155.0,-175.0,-165.0,1.6194311193301976
46,-175.0,-145.0,-165.0,-155.0,1.6193342330667364
47,-165.0,-135.0,-155.0,-145.0,1.6192092489112282
48,-155.0,-125.0,-145.0,-135.0,1.6190473340242826
49,-145.0,-115.0,-135.0,-125.0,1.6188380363089203
50,-135.0,-105.0,-125.0,-115.0,1.618571151327978
51,-125.0,-95.0,-115.0,-105.0,1.6182418641565115
52,-115.0,-85.0,-105.0,-95.0,1.6178610831446172
53,-105.0,-75.0,-95.0,-85.0,1.6174690116534507
54,-95.0,-65.0,-85.0,-75.0,1.6171347331202932
55,-85.0,-55.0,-75.0,-65.0,1.6169013484952643
56,-75.0,-45.0,-65.0,-55.0,1.6166714606506996
57,-65.0,-35.0,-55.0,-45.0,1.6161990310508392
58,-55.0,-25.0,-45.0,-35.0,1.6153548641107747
59,-45.0,-15.0,-35.0,-25.0,1.6143368332400951
60,-35.0,-5.0,-25.0,-15.0,1.6134679704577626
61,-25.0,5.0,-15.0,-5.0,1.6129290130126526
62,-15.0,15.0,-5.0,5.0,1.6127515578095686
63,-5.0,25.0,5.0,15.0,1.6129290130126523
64,5.0,35.0,15.0,25.0,1.6134679704577632
65,15.0,45.0,25.0,35.0,1.6143368332400954
66,25.0,55.0,35.0,45.0,1.6153548641107756
67,35.0,65.0,45.0,55.0,1.6161990310508396
68,45.0,75.0,55.0,65.0,1.6166714606506996
69,55.0,85.0,65.0,75.0,1.6169013484952641
70,65.0,95.0,75.0,85.0,1.6171347331202925
71,75.0,105.0,85.0,95.0,1.6174690116534514
72,85.0,115.0,95.0,105.0,1.617861083144617
73,95.0,125.0,105.0,115.0,1.6182418641565122
74,105.0,135.0,115.0,125.0,1.6185711513279786
75,115.0,145.0,125.0,135.0,1.618838036308921
76,125.0,155.0,135.0,145.0,1.6190473340242826
77,135.0,165.0,145.0,155.0,1.619209248911229
78,145.0,175.0,155.0,165.0,1.619334233066736
79,155.0,185.0,165.0,175.0,1.6194311193301982
80,165.0,195.0,175.0,185.0,1.6195067908347813
81,175.0,205.0,185.0,195.0,1.6195664188407526
82,185.0,215.0,195.0,205.0,1.6196138338982915
83,195.0,225.0,205.0,215.0,1.619651868419448
84,205.0,235.0,215.0,225.0,1.6196826275820264
85,215.0,245.0,225.0,235.0,1.6197076898445784
86,225.0,255.0,235.0,245.0,1.6197282510224693
87,235.0,265.0,245.0,255.0,1.6197452267005947
88,245.0,275.0,255.0,265.0,1.6197593250400297
89,255.0,285.0,265.0,275.0,1.619771098881738
90,265.0,295.0,275.0,285.0,1.61978098342224
91,275.0,305.0,285.0,295.0,1.6197893237897332
92,285.0,315.0,295.0,305.0,1.6197963954847654
93,295.0,325.0,305.0,315.0,1.6198024197184115
94,305.0,335.0,315.0,325.0,1.6198075750526264
95,315.0,345.0,325.0,335.0,1.61981200632421
96,325.0,355.0,335.0,345.0,1.6198158315473101
97,335.0,365.0,345.0,355.0,1.6198191472935728
98,345.0,375.0,355.0,365.0,1.61982203291358
99,355.0,385.0,365.0,375.0,1.6198245538680922
100,365.0,395.0,375.0,385.0,1.6198267643698459
101,375.0,405.0,385.0,395.0,1.6198287094876458
102,385.0,415.0,395.0,405.0,1.6198304268284849
103,395.0,425.0,405.0,415.0,1.6198319478866905
104,405.0,435.0,415.0,425.0,1.6198332991288673
105,415.0,445.0,425.0,435.0,1.6198345028680547
106,425.0,455.0,435.0,445.0,1.6198355779685032
107,435.0,465.0,445.0,455.0,1.6198365404130348
108,445.0,475.0,455.0,465.0,1.6198374037571517
109,455.0,485.0,465.0,475.0,1.6198381794872794
110,465.0,495.0,475.0,485.0,1.6198388772938972
111,475.0,505.0,485.0,495.0,1.6198395052628924
112,485.0,515.0,495.0,505.0,1.6198400699783737
113,495.0,525.0,505.0,515.0,1.619840576514529
114,505.0,535.0,515.0,525.0,1.6198410282666913
115,515.0,545.0,525.0,535.0,1.619841426520712
116,525.0,555.0,535.0,545.0,1.6198417695591898
117,535.0,565.0,545.0,555.0,1.6198420508970308
118,545.0,575.0,555.0,565.0,1.6198422557974599
119,555.0,585.0,565.0,575.0,1.6198423542293083
120,565.0,595.0,575.0,585.0,1.6198422860792006
121,575.0,605.0,585.0,595.0,1.6198419285035184
122,585.0,615.0,595.0,605.0,1.6198410191369963
123,595.0,625.0,605.0,615.0,1.6198389600183654
124,605.0,635.0,615.0,625.0,1.6198342545012379
125,-635.0,-575.0,-615.0,-595.0,0.7982335694174716
126,-625.0,-565.0,-605.0,-585.0,0.7982400460550207
127,-615.0,-555.0,-595.0,-575.0,0.7982428308529295
128,-605.0,-545.0,-585.0,-565.0,0.7982438045781313
129,-595.0,-535.0,-575.0,-555.0,0.7982438052401317
130,-585.0,-525.0,-565.0,-545.0,0.7982432296714372
131,-575.0,-515.0,-555.0,-535.0,0.7982422728363765
132,-565.0,-505.0,-545.0,-525.0,0.7982410314372406
133,-555.0,-495.0,-535.0,-515.0,0.798239551507367
134,-545.0,-485.0,-525.0,-505.0,0.7982378512850623
135,-535.0,-475.0,-515.0,-495.0,0.7982359325753404
136,-525.0,-465.0,-505.0,-485.0,0.7982337864877359
137,-515.0,-455.0,-495.0,-475.0,0.798231396295036
138,-505.0,-445.0,-485.0,-465.0,0.7982287387385887
139,-495.0,-435.0,-475.0,-455.0,0.7982257844360545
140,-485.0,-425.0,-465.0,-445.0,0.7982224977179805
141,-475.0,-415.0,-455.0,-435.0,0.798218836049988
142,-465.0,-405.0,-445.0,-425.0,0.7982147491050628
143,-455.0,-395.0,-435.0,-415.0,0.798210177495753
144,-445.0,-385.0,-425.0,-405.0,0.7982050511393908
145,-435.0,-375.0,-415.0,-395.0,0.798199287200352
146,-425.0,-365.0,-405.0,-385.0,0.7981927875259335
147,-415.0,-355.0,-395.0,-375.0,0.7981854354627893
148,-405.0,-345.0,-385.0,-365.0,0.7981770919058883
149,-395.0,-335.0,-375.0,-355.0,0.7981675903885862
150,-385.0,-325.0,-365.0,-345.0,0.7981567309670154
151,-375.0,-315.0,-355.0,-335.0,0.7981442725799919
152,-365.0,-305.0,-345.0,-325.0,0.7981299234706061
153,-355.0,-295.0,-335.0,-315.0,0.798113329128585
154,-345.0,-285.0,-325.0,-305.0,0.7980940570402526
155,-335.0,-275.0,-315.0,-295.0,0.7980715772961328
156,-325.0,-265.0,-305.0,-285.0,0.7980452377758663
157,-315.0,-255.0,-295.0,-275.0,0.7980142321623719
158,-305.0,-245.0,-285.0,-265.0,0.7979775583655195
159,-295.0,-235.0,-275.0,-255.0,0.7979339639590385
160,-285.0,-225.0,-265.0,-245.0,0.7978818738012423
161,-275.0,-215.0,-255.0,-235.0,0.7978192928967199
162,-265.0,-205.0,-245.0,-225.0,0.7977436744458528
163,-255.0,-195.0,-235.0,-215.0,0.7976517385073572
164,-245.0,-185.0,-225.0,-205.0,0.797539220313265
165,-235.0,-175.0,-215.0,-195.0,0.7974005187825224
166,-225.0,-165.0,-205.0,-185.0,0.7972282058849318
167,-215.0,-155.0,-195.0,-175.0,0.7970123498006619
168,-205.0,-145.0,-185.0,-165.0,0.7967396104352891
169,-195.0,-135.0,-175.0,-155.0,0.7963921139165471
170,-185.0,-125.0,-165.0,-145.0,0.7959462716971715
171,-175.0,-115.0,-155.0,-135.0,0.7953721243800304
172,-165.0,-105.0,-145.0,-125.0,0.7946347183952815
173,-155.0,-95.0,-135.0,-115.0,0.7937007639595499
174,-145.0,-85.0,-125.0,-105.0,0.7925560922179739
175,-135.0,-75.0,-115.0,-95.0,0.7912390466405888
176,-125.0,-65.0,-105.0,-85.0,0.7898810815541253
177,-115.0,-55.0,-95.0,-75.0,0.7887026505722456
178,-105.0,-45.0,-85.0,-65.0,0.7878678003852209
179,-95.0,-35.0,-75.0,-55.0,0.787204395589158
180,-85.0,-25.0,-65.0,-45.0,0.7861122571075181
181,-75.0,-15.0,-55.0,-35.0,0.7840077166264934
182,-65.0,-5.0,-45.0,-25.0,0.7809617048585387
183,-55.0,5.0,-35.0,-15.0,0.7777401788941908
184,-45.0,15.0,-25.0,-5.0,0.7752110836724471
185,-35.0,25.0,-15.0,5.0,0.773871840162947
186,-25.0,35.0,-5.0,15.0,0.7738718401629472
187,-15.0,45.0,5.0,25.0,0.7752110836724473
188,-5.0,55.0,15.0,35.0,0.7777401788941911
189,5.0,65.0,25.0,45.0,0.780961704858539
190,15.0,75.0,35.0,55.0,0.7840077166264943
191,25.0,85.0,45.0,65.0,0.7861122571075186
192,35.0,95.0,55.0,75.0,0.7872043955891583
193,45.0,105.0,65.0,85.0,0.7878678003852206
194,55.0,115.0,75.0,95.0,0.7887026505722456
195,65.0,125.0,85.0,105.0,0.789881081554125
196,75.0,135.0,95.0,115.0,0.7912390466405883
197,85.0,145.0,105.0,125.0,0.792556092217974
198,95.0,155.0,115.0,135.0,0.7937007639595504
199,105.0,165.0,125.0,145.0,0.7946347183952813
200,115.0,175.0,135.0,155.0,0.79537212438003
201,125.0,185.0,145.0,165.0,0.7959462716971712
202,135.0,195.0,155.0,175.0,0.7963921139165475
203,145.0,205.0,165.0,185.0,0.7967396104352898
204,155.0,215.0,175.0,195.0,0.7970123498006618
205,165.0,225.0,185.0,205.0,0.7972282058849314
206,175.0,235.0,195.0,215.0,0.7974005187825225
207,185.0,245.0,205.0,225.0,0.7975392203132654
208,195.0,255.0,215.0,235.0,0.7976517385073578
209,205.0,265.0,225.0,245.0,0.7977436744458527
210,215.0,275.0,235.0,255.0,0.7978192928967197
211,225.0,285.0,245.0,265.0,0.7978818738012424
212,235.0,295.0,255.0,275.0,0.7979339639590391
213,245.0,305.0,265.0,285.0,0.7979775583655199
214,255.0,315.0,275.0,295.0,0.7980142321623724
215,265.0,325.0,285.0,305.0,0.7980452377758671
216,275.0,335.0,295.0,315.0,0.7980715772961334
217,285.0,345.0,305.0,325.0,0.7980940570402528
218,295.0,355.0,315.0,335.0,0.7981133291285848
219,305.0,365.0,325.0,345.0,0.798129923470606
220,315.0,375.0,335.0,355.0,0.7981442725799917
221,325.0,385.0,345.0,365.0,0.7981567309670146
222,335.0,395.0,355.0,375.0,0.7981675903885853
223,345.0,405.0,365.0,385.0,0.7981770919058871
224,355.0,415.0,375.0,395.0,0.7981854354627889
225,365.0,425.0,385.0,405.0,0.7981927875259327
226,375.0,435.0,395.0,415.0,0.7981992872003508
227,385.0,445.0,405.0,425.0,0.7982050511393892
228,395.0,455.0,415.0,435.0,0.7982101774957524
229,405.0,465.0,425.0,445.0,0.7982147491050632
230,415.0,475.0,435.0,455.0,0.7982188360499887
231,425.0,485.0,445.0,465.0,0.7982224977179806
232,435.0,495.0,455.0,475.0,0.7982257844360544
233,445.0,505.0,465.0,485.0,0.7982287387385887
234,455.0,515.0,475.0,495.0,0.7982313962950367
235,465.0,525.0,485.0,505.0,0.7982337864877361
236,475.0,535.0,495.0,515.0,0.798235932575341
237,485.0,545.0,505.0,525.0,0.7982378512850621
238,495.0,555.0,515.0,535.0,0.7982395515073669
239,505.0,565.0,525.0,545.0,0.7982410314372397
240,515.0,575.0,535.0,555.0,0.7982422728363758
241,525.0,585.0,545.0,565.0,0.7982432296714362
242,535.0,595.0,555.0,575.0,0.7982438052401312
243,545.0,605.0,565.0,585.0,0.7982438045781317
244,555.0,615.0,575.0,595.0,0.7982428308529295
245,565.0,625.0,585.0,605.0,0.7982400460550205
246,575.0,635.0,595.0,615.0,0.7982335694174703
247,-635.0,-515.0,-595.0,-555.0,0.39795977261370524
248,-625.0,-505.0,-585.0,-545.0,0.39796169546926874
249,-615.0,-495.0,-575.0,-535.0,0.3979603817972375
250,-605.0,-485.0,-565.0,-525.0,0.3979570580820654
251,-595.0,-475.0,-555.0,-515.0,0.39795233555709814
252,-585.0,-465.0,-545.0,-505.0,0.39794651283975757
253,-575.0,-455.0,-535.0,-495.0,0.39793972176910797
