# Declination : 7.79138 Degrees
# Inclination : 65.97 Degrees
# Total Field : 51_345.6 nT
Easting (m),Northing (m),Elevation (m),Total Magnetic Anomaly (nT),Standard Deviation (nT)
-1500.0,-1500.0,100.0,-8.205071324382684,5.0
-1500.0,-1400.0,100.0,-0.3317730247800261,5.0
-1500.0,-1300.0,100.0,-3.83687874762214,5.0
-1500.0,-1200.0,100.0,-9.549998642821905,5.0
-1500.0,-1100.0,100.0,2.642206692774298,5.0
-1500.0,-1000.0,100.0,-2.1203238999253555,5.0
-1500.0,-900.0,100.0,2.994092775337439,5.0
-1500.0,-800.0,100.0,-15.127609178705832,5.0
-1500.0,-700.0,100.0,-3.0961692281322257,5.0
-1500.0,-600.0,100.0,-9.010178824119105,5.0
-1500.0,-500.0,100.0,-8.867938730272996,5.0
-1500.0,-400.0,100.0,-7.147927742485347,5.0
-1500.0,-300.0,100.0,-17.094442681989356,5.0
-1500.0,-200.0,100.0,-14.367355149876781,5.0
-1500.0,-100.0,100.0,-16.299206933180983,5.0
-1500.0,0.0,100.0,-10.63626451481419,5.0
-1500.0,100.0,100.0,-27.660495404583628,5.0
-1500.0,200.0,100.0,-20.437974916253005,5.0
-1500.0,300.0,100.0,-21.19558880114366,5.0
-1500.0,400.0,100.0,-22.32806531936805,5.0
-1500.0,500.0,100.0,-23.16676975454485,5.0
-1500.0,600.0,100.0,-32.78967764414389,5.0
-1500.0,700.0,100.0,-34.769416648915374,5.0
-1500.0,800.0,100.0,-35.19065672981961,5.0
-1500.0,900.0,100.0,-30.680596627502375,5.0
-1500.0,1000.0,100.0,-28.245574282106947,5.0
-1500.0,1100.0,100.0,-23.370233680390033,5.0
-1500.0,1200.0,100.0,-31.808591595979504,5.0
-1500.0,1300.0,100.0,-12.71341631685808,5.0
-1500.0,1400.0,100.0,-10.851651412071817,5.0
-1500.0,1500.0,100.0,-22.606041385731608,5.0
-1400.0,-1500.0,100.0,-7.045966105141557,5.0
-1400.0,-1400.0,100.0,1.7159954343935402,5.0
-1400.0,-1300.0,100.0,-0.9095043847009339,5.0
-1400.0,-1200.0,100.0,0.7949985701202067,5.0
-1400.0,-1100.0,100.0,-7.343494994022661,5.0
-1400.0,-1000.0,100.0,1.936648359138129,5.0
-1400.0,-900.0,100.0,-14.828022733069515,5.0
